MapReduce1,MapReduce5,Hive1,Hive11,SparkLocal,Spark1,Spark6,SparkSQLocal,SParkSQL1,SparkSQL6
4m8.934,2m25.838,1m5.763,1m14.490,3m14.935,1m17.147,1m21.889,3m1.199,1m11.175,1m8.879
3m56.762,2m24.654,1m0.798,1m5.255,3m8.620,1m9.166,1m7.378,3m3.556,1m12.133,1m9.380
3m56.162,2m14.855,59.619,1m4.241,3m15.599,1m10.591,1m10.062,3m15.405,1m8.940,1m8.706
3m57.702,2m22.150,1m2.402,1m0.707,2m58.596,1m9.496,1m8.342,3m6.222,1m11.155,1m10.610
3m56.900,2m23.014,59.366,1m8.633,3m7.543,1m10.128,1m9.057,3m9.553,1m10.020,1m7.792
