origin,month,dep_delay,arr_delay,cancelled,cancellation_code,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
LAS,11,2.0,-9.0,0,N,0,0,0,0,0
JFK,8,18.0,38.0,0,N,18,0,20,0,0
DAY,12,61.0,39.0,0,N,0,0,0,0,39
ORD,12,-2.0,-15.0,0,N,0,0,0,0,0
LGA,4,12.0,-2.0,0,N,0,0,0,0,0
ORD,3,32.0,27.0,0,N,3,0,0,0,24
ONT,4,-3.0,-9.0,0,N,0,0,0,0,0
AUS,10,-10.0,-21.0,0,N,0,0,0,0,0
PHX,7,-5.0,-1.0,0,N,0,0,0,0,0
DCA,1,-6.0,4.0,0,N,0,0,0,0,0
IAD,7,216.0,200.0,0,N,200,0,0,0,0
JFK,9,-7.0,-27.0,0,N,0,0,0,0,0
ATL,6,12.0,5.0,0,N,0,0,0,0,0
STL,4,1.0,2.0,0,N,0,0,0,0,0
SFO,9,81.0,71.0,0,N,0,0,0,0,71
CHO,7,,,1,A,0,0,0,0,0
MCO,2,-13.0,-7.0,0,N,0,0,0,0,0
DAL,1,-5.0,-14.0,0,N,0,0,0,0,0
SRQ,4,-6.0,-6.0,0,N,0,0,0,0,0
SEA,6,-4.0,-8.0,0,N,0,0,0,0,0
ORD,12,47.0,53.0,0,N,0,0,30,0,23
ORD,8,11.0,42.0,0,N,0,0,31,0,11
PNS,12,-2.0,-3.0,0,N,0,0,0,0,0
AUS,11,-5.0,-14.0,0,N,0,0,0,0,0
MSY,3,-7.0,-12.0,0,N,0,0,0,0,0
ATL,2,-9.0,-18.0,0,N,0,0,0,0,0
MSP,1,21.0,13.0,0,N,0,0,0,0,0
ELP,8,6.0,1.0,0,N,0,0,0,0,0
ORD,8,29.0,22.0,0,N,22,0,0,0,0
DFW,10,-5.0,7.0,0,N,0,0,0,0,0
LGA,7,-3.0,-11.0,0,N,0,0,0,0,0
PHX,12,-1.0,2.0,0,N,0,0,0,0,0
BHM,5,-7.0,-13.0,0,N,0,0,0,0,0
SLC,12,-2.0,-10.0,0,N,0,0,0,0,0
ATL,10,-7.0,-11.0,0,N,0,0,0,0,0
ACK,8,-9.0,-23.0,0,N,0,0,0,0,0
HOU,11,9.0,5.0,0,N,0,0,0,0,0
DFW,2,-8.0,-20.0,0,N,0,0,0,0,0
AUS,3,-7.0,-15.0,0,N,0,0,0,0,0
EWR,1,-2.0,-35.0,0,N,0,0,0,0,0
JFK,12,8.0,4.0,0,N,0,0,0,0,0
ALB,4,-9.0,-24.0,0,N,0,0,0,0,0
LAS,1,-6.0,-4.0,0,N,0,0,0,0,0
ONT,9,-5.0,-7.0,0,N,0,0,0,0,0
MSP,10,5.0,7.0,0,N,0,0,0,0,0
ISP,7,78.0,45.0,0,N,0,0,0,0,45
MCO,10,24.0,9.0,0,N,0,0,0,0,0
ATL,4,16.0,7.0,0,N,0,0,0,0,0
CLT,11,-7.0,-6.0,0,N,0,0,0,0,0
BUF,6,0.0,8.0,0,N,0,0,0,0,0
FLG,12,61.0,73.0,0,N,61,0,12,0,0
DTW,11,-8.0,-18.0,0,N,0,0,0,0,0
ATL,10,-8.0,-23.0,0,N,0,0,0,0,0
DCA,5,0.0,21.0,0,N,0,0,21,0,0
LGA,4,-11.0,-23.0,0,N,0,0,0,0,0
FLL,9,-5.0,-3.0,0,N,0,0,0,0,0
JAX,3,12.0,8.0,0,N,0,0,0,0,0
SEA,6,-11.0,16.0,0,N,0,0,16,0,0
BNA,2,126.0,120.0,0,N,120,0,0,0,0
LAS,6,-5.0,-13.0,0,N,0,0,0,0,0
KTN,1,5.0,-7.0,0,N,0,0,0,0,0
CAE,6,107.0,105.0,0,N,105,0,0,0,0
EWR,2,23.0,5.0,0,N,0,0,0,0,0
DCA,6,25.0,25.0,0,N,11,0,0,0,14
SUN,12,-5.0,-15.0,0,N,0,0,0,0,0
PIH,2,-10.0,-12.0,0,N,0,0,0,0,0
DCA,9,3.0,-7.0,0,N,0,0,0,0,0
DFW,4,-2.0,11.0,0,N,0,0,0,0,0
CLT,5,-3.0,-3.0,0,N,0,0,0,0,0
BOS,2,-6.0,-1.0,0,N,0,0,0,0,0
PIT,1,-8.0,-17.0,0,N,0,0,0,0,0
JFK,1,-5.0,-12.0,0,N,0,0,0,0,0
LGA,12,-5.0,-25.0,0,N,0,0,0,0,0
SFO,12,141.0,134.0,0,N,5,0,0,0,129
ATL,8,-4.0,-16.0,0,N,0,0,0,0,0
CAE,8,-14.0,-6.0,0,N,0,0,0,0,0
JNU,8,-6.0,-26.0,0,N,0,0,0,0,0
DSM,12,-7.0,-20.0,0,N,0,0,0,0,0
EWR,12,25.0,6.0,0,N,0,0,0,0,0
CLT,5,0.0,-3.0,0,N,0,0,0,0,0
DEN,8,-10.0,-21.0,0,N,0,0,0,0,0
IAH,2,-9.0,2.0,0,N,0,0,0,0,0
AUS,6,-5.0,-6.0,0,N,0,0,0,0,0
DEN,1,14.0,2.0,0,N,0,0,0,0,0
SLC,3,-7.0,6.0,0,N,0,0,0,0,0
JFK,11,-7.0,30.0,0,N,0,0,30,0,0
LAX,11,-2.0,-7.0,0,N,0,0,0,0,0
MIA,2,-3.0,-9.0,0,N,0,0,0,0,0
MSY,5,-6.0,-8.0,0,N,0,0,0,0,0
FLL,9,12.0,-2.0,0,N,0,0,0,0,0
AUS,10,-3.0,-13.0,0,N,0,0,0,0,0
MLI,10,-10.0,-9.0,0,N,0,0,0,0,0
LAS,8,-6.0,113.0,0,N,0,0,113,0,0
SFO,1,,,1,A,0,0,0,0,0
IAH,4,8.0,-13.0,0,N,0,0,0,0,0
DFW,9,-5.0,2.0,0,N,0,0,0,0,0
RDM,7,-7.0,-4.0,0,N,0,0,0,0,0
SRQ,11,-19.0,-42.0,0,N,0,0,0,0,0
CLE,11,36.0,48.0,0,N,0,0,22,0,26
LGA,2,-2.0,-23.0,0,N,0,0,0,0,0
SRQ,2,81.0,76.0,0,N,0,0,0,0,76
ONT,5,19.0,9.0,0,N,0,0,0,0,0
BNA,11,-1.0,2.0,0,N,0,0,0,0,0
BOS,10,-6.0,-10.0,0,N,0,0,0,0,0
STL,1,-1.0,0.0,0,N,0,0,0,0,0
LAX,10,-6.0,-24.0,0,N,0,0,0,0,0
SJU,8,21.0,16.0,0,N,6,0,0,0,10
HNL,4,-4.0,-7.0,0,N,0,0,0,0,0
ORD,10,-8.0,-29.0,0,N,0,0,0,0,0
ATL,7,0.0,2.0,0,N,0,0,0,0,0
DEN,5,0.0,-8.0,0,N,0,0,0,0,0
CRW,6,-8.0,-9.0,0,N,0,0,0,0,0
LGA,9,-4.0,-12.0,0,N,0,0,0,0,0
SAT,6,81.0,70.0,0,N,39,0,0,0,31
HNL,5,-4.0,-15.0,0,N,0,0,0,0,0
CVG,10,-5.0,-9.0,0,N,0,0,0,0,0
PHX,11,11.0,-2.0,0,N,0,0,0,0,0
LAS,6,17.0,15.0,0,N,15,0,0,0,0
ATL,1,12.0,18.0,0,N,12,0,6,0,0
DEN,4,0.0,-8.0,0,N,0,0,0,0,0
SJU,12,-5.0,3.0,0,N,0,0,0,0,0
MCO,7,-2.0,2.0,0,N,0,0,0,0,0
SLC,1,-2.0,-15.0,0,N,0,0,0,0,0
SLC,6,14.0,7.0,0,N,0,0,0,0,0
BWI,4,-1.0,-19.0,0,N,0,0,0,0,0
MOB,11,-8.0,7.0,0,N,0,0,0,0,0
JAC,7,-9.0,-20.0,0,N,0,0,0,0,0
TPA,5,-6.0,-5.0,0,N,0,0,0,0,0
MCI,1,5.0,14.0,0,N,0,0,0,0,0
RNO,5,24.0,12.0,0,N,0,0,0,0,0
DAL,6,0.0,-11.0,0,N,0,0,0,0,0
DCA,11,-8.0,-7.0,0,N,0,0,0,0,0
MSP,4,-1.0,-14.0,0,N,0,0,0,0,0
DEN,3,-5.0,-28.0,0,N,0,0,0,0,0
JAX,1,-5.0,-12.0,0,N,0,0,0,0,0
CLT,2,-5.0,-11.0,0,N,0,0,0,0,0
SLC,5,-3.0,0.0,0,N,0,0,0,0,0
CLT,2,6.0,-2.0,0,N,0,0,0,0,0
PHL,10,-7.0,-13.0,0,N,0,0,0,0,0
BUF,6,-4.0,4.0,0,N,0,0,0,0,0
SJU,10,15.0,-1.0,0,N,0,0,0,0,0
ATL,1,0.0,-5.0,0,N,0,0,0,0,0
OAK,5,-9.0,-16.0,0,N,0,0,0,0,0
SAT,3,-4.0,-3.0,0,N,0,0,0,0,0
DFW,9,-6.0,-8.0,0,N,0,0,0,0,0
ORD,8,-9.0,-9.0,0,N,0,0,0,0,0
JAX,1,-3.0,15.0,0,N,0,0,15,0,0
DFW,7,-5.0,-9.0,0,N,0,0,0,0,0
DSM,6,15.0,-1.0,0,N,0,0,0,0,0
ABQ,1,5.0,4.0,0,N,0,0,0,0,0
GEG,10,-8.0,-23.0,0,N,0,0,0,0,0
BOS,12,13.0,26.0,0,N,13,0,13,0,0
PHX,8,10.0,-2.0,0,N,0,0,0,0,0
ATL,1,-2.0,-9.0,0,N,0,0,0,0,0
BOS,5,2.0,-7.0,0,N,0,0,0,0,0
SEA,4,57.0,49.0,0,N,49,0,0,0,0
IAH,7,21.0,9.0,0,N,0,0,0,0,0
DAL,2,,,1,C,0,0,0,0,0
SEA,6,1.0,-26.0,0,N,0,0,0,0,0
DEN,10,-6.0,-19.0,0,N,0,0,0,0,0
CLT,4,29.0,32.0,0,N,29,0,3,0,0
SEA,9,-8.0,-24.0,0,N,0,0,0,0,0
CLT,7,163.0,165.0,0,N,0,49,2,0,114
DCA,8,38.0,21.0,0,N,21,0,0,0,0
SEA,10,0.0,-4.0,0,N,0,0,0,0,0
CLT,12,-6.0,-1.0,0,N,0,0,0,0,0
ATL,1,-10.0,-15.0,0,N,0,0,0,0,0
ORD,10,-5.0,-8.0,0,N,0,0,0,0,0
ATL,7,-4.0,-7.0,0,N,0,0,0,0,0
DTW,12,-8.0,-9.0,0,N,0,0,0,0,0
DFW,2,-5.0,-5.0,0,N,0,0,0,0,0
PHL,3,18.0,16.0,0,N,16,0,0,0,0
ORD,5,-3.0,-1.0,0,N,0,0,0,0,0
MSP,3,71.0,120.0,0,N,0,0,49,0,71
BWI,7,10.0,-14.0,0,N,0,0,0,0,0
MDW,8,95.0,93.0,0,N,0,0,0,0,93
SFO,6,29.0,5.0,0,N,0,0,0,0,0
PHX,12,79.0,60.0,0,N,1,0,0,0,59
VPS,6,-1.0,-13.0,0,N,0,0,0,0,0
SEA,1,-7.0,-18.0,0,N,0,0,0,0,0
SBP,5,-4.0,1.0,0,N,0,0,0,0,0
AUS,6,0.0,-12.0,0,N,0,0,0,0,0
DFW,4,-2.0,-6.0,0,N,0,0,0,0,0
SMF,6,-6.0,-16.0,0,N,0,0,0,0,0
SAN,5,7.0,5.0,0,N,0,0,0,0,0
BOS,7,48.0,,0,N,0,0,0,0,0
PSC,11,27.0,8.0,0,N,0,0,0,0,0
GSP,6,-8.0,-28.0,0,N,0,0,0,0,0
LAX,8,-4.0,8.0,0,N,0,0,0,0,0
MBS,6,366.0,357.0,0,N,357,0,0,0,0
MCO,8,30.0,22.0,0,N,22,0,0,0,0
IND,11,-4.0,3.0,0,N,0,0,0,0,0
HRL,10,-3.0,-25.0,0,N,0,0,0,0,0
LAS,8,-9.0,-13.0,0,N,0,0,0,0,0
BOS,11,-6.0,8.0,0,N,0,0,0,0,0
LAX,11,17.0,22.0,0,N,17,0,5,0,0
BUR,12,41.0,55.0,0,N,41,0,14,0,0
MSP,3,0.0,1.0,0,N,0,0,0,0,0
PHX,10,-8.0,-18.0,0,N,0,0,0,0,0
ORD,8,44.0,43.0,0,N,4,0,1,0,38
DFW,9,9.0,5.0,0,N,0,0,0,0,0
DCA,10,1.0,-8.0,0,N,0,0,0,0,0
LAX,7,-10.0,-16.0,0,N,0,0,0,0,0
OMA,7,-1.0,31.0,0,N,0,0,31,0,0
MIA,10,-5.0,-9.0,0,N,0,0,0,0,0
DAL,3,27.0,4.0,0,N,0,0,0,0,0
CHS,1,107.0,115.0,0,N,107,0,8,0,0
