MapReduceLocal,MapReduceCluster,MapReduceCluster3Tasks,HiveLocal,HiveCluster,HiveCluster3Tasks,SparkLocal,SparkCluster,SparkSQLocal,SparkSQLCluster
3.915,17.388,18.475,1m0.835,2m42.856,2m12.103,7.635,30.528,12.828,32.240
3.292,15.272,18.884,59.161,2m48.735,2m13.101,7.113,26.878,13.664,29.408
2.320,19.895,22.076,49.123,2m56.262,2m14.814,7.511,24.713,11.178,29.262
2.325,18.750,20.797,59.192,2m50.626,2m5.654,9.376,25.614,13.711,28.526
2.274,15.757,21.000,59.112,1m54.810,2m4.136,20.557,20.917,11.039,29.324
