op_unique_carrier,origin,arr_delay,cancelled,month
DL,ATL,-14.0,0,12
AA,CLT,30.0,0,7
AA,MIA,-10.0,0,12
DL,BOS,-11.0,0,12
NK,PIT,-15.0,0,9
YX,DCA,-9.0,0,8
WN,DEN,-11.0,0,8
AA,AUS,17.0,0,7
DL,SEA,73.0,0,7
UA,DEN,-14.0,0,7
WN,ORD,-37.0,0,12
DL,MSP,13.0,0,5
UA,LGA,18.0,0,5
9E,JFK,-19.0,0,6
YX,JFK,-9.0,0,4
OH,ORF,-5.0,0,8
OO,SFO,-17.0,0,1
WN,MDW,-11.0,0,5
AS,LIH,-28.0,0,2
AS,SEA,-10.0,0,8
AS,PDX,-21.0,0,8
WN,LAS,6.0,0,5
WN,LGB,6.0,0,7
OO,COS,12.0,0,12
B6,IAH,133.0,0,1
OO,SJC,-24.0,0,7
WN,HOU,-7.0,0,2
WN,ECP,-23.0,0,9
AA,DFW,22.0,0,6
UA,BOS,-10.0,0,8
DL,ORD,100.0,0,5
WN,DAL,7.0,0,12
9E,ATL,-29.0,0,8
WN,SJC,-5.0,0,8
WN,TPA,63.0,0,5
MQ,DFW,-27.0,0,8
UA,DFW,4.0,0,8
UA,IAD,-4.0,0,9
AA,MCO,-19.0,0,10
B6,JFK,-15.0,0,3
AA,MCI,-4.0,0,4
DL,STT,-15.0,0,2
UA,LAS,-4.0,0,11
DL,MCO,-19.0,0,7
F9,PHL,-2.0,0,4
OH,BDL,-35.0,0,5
OO,LEX,-5.0,0,2
UA,RNO,-4.0,0,10
OH,MYR,-12.0,0,1
AA,CLT,-7.0,0,11
AA,DFW,-1.0,0,12
WN,AUS,5.0,0,9
OO,SEA,5.0,0,7
HA,KOA,5.0,0,6
AA,RSW,-4.0,0,5
UA,ROC,-12.0,0,7
UA,LAX,3.0,0,12
WN,BWI,,1,10
WN,DEN,-2.0,0,5
F9,MIA,-26.0,0,5
9E,RDU,50.0,0,4
AA,PVD,-1.0,0,9
WN,SJC,-7.0,0,11
YX,CLE,-3.0,0,2
DL,LGA,-16.0,0,3
WN,HNL,-12.0,0,5
WN,DAL,-2.0,0,1
AA,DCA,17.0,0,2
OH,OMA,16.0,0,9
AA,MCO,12.0,0,8
OO,DEN,-17.0,0,12
HA,LIH,-2.0,0,2
DL,TPA,-5.0,0,11
UA,ORD,-28.0,0,6
WN,BWI,171.0,0,4
OH,PNS,4.0,0,5
OO,PHX,-9.0,0,12
WN,BWI,-2.0,0,1
F9,LGA,-19.0,0,9
NK,SEA,17.0,0,1
AA,CLT,64.0,0,4
DL,TPA,4.0,0,6
OO,ALB,-10.0,0,10
9E,BHM,-18.0,0,8
MQ,EWR,27.0,0,4
B6,SJU,21.0,0,7
WN,HNL,71.0,0,2
UA,SFO,4.0,0,5
NK,CMH,51.0,0,7
DL,SLC,-17.0,0,11
OO,BOI,-29.0,0,8
OO,LGA,-27.0,0,5
F9,LGA,,1,7
OO,SDF,-17.0,0,10
UA,MSP,-6.0,0,9
NK,EWR,72.0,0,1
WN,SLC,47.0,0,8
YX,CMH,-20.0,0,12
UA,SFO,9.0,0,5
YX,LGA,160.0,0,7
YX,EWR,124.0,0,4
OH,DCA,4.0,0,5
UA,RDU,6.0,0,8
DL,SAT,-16.0,0,11
WN,MEM,6.0,0,12
AA,LAX,-18.0,0,9
OH,MEM,-20.0,0,4
DL,GSP,87.0,0,6
YX,LGA,-27.0,0,3
DL,FLL,-7.0,0,9
WN,SFO,37.0,0,7
9E,SHV,5.0,0,5
WN,BNA,-21.0,0,10
MQ,ORD,2.0,0,3
DL,MSP,-24.0,0,3
WN,HNL,6.0,0,7
MQ,EYW,-11.0,0,11
DL,DEN,-15.0,0,9
DL,JFK,307.0,0,7
G4,LAS,13.0,0,1
UA,PDX,-3.0,0,10
AS,SLC,-11.0,0,2
OO,FAT,-12.0,0,1
AA,TPA,-20.0,0,10
YX,BNA,-23.0,0,6
WN,PHX,281.0,0,12
AS,SEA,6.0,0,1
WN,TPA,-2.0,0,6
AS,SJC,-20.0,0,10
MQ,ORD,-5.0,0,4
OH,DAB,-10.0,0,6
MQ,MIA,0.0,0,12
AA,LAX,-13.0,0,11
OH,CLT,-2.0,0,12
WN,BOI,-4.0,0,10
UA,DEN,-4.0,0,10
DL,MSP,-20.0,0,8
WN,AUS,-10.0,0,3
UA,GEG,70.0,0,12
UA,SJU,2.0,0,8
OO,SFO,-19.0,0,8
OO,SFO,26.0,0,3
OO,FWA,9.0,0,11
WN,BWI,-1.0,0,4
AA,LAS,-27.0,0,6
9E,RDU,-6.0,0,2
WN,MTJ,-14.0,0,5
OO,MSP,103.0,0,12
AA,LAX,0.0,0,5
DL,BOI,48.0,0,9
WN,HOU,2.0,0,7
DL,ATL,-8.0,0,2
DL,SLC,96.0,0,7
OH,HSV,-36.0,0,5
OH,DCA,-20.0,0,11
UA,IAD,-29.0,0,11
WN,FLL,-11.0,0,9
DL,ATL,16.0,0,6
OO,SLC,5.0,0,11
WN,DEN,20.0,0,8
OO,PDX,11.0,0,3
AA,LAX,-24.0,0,2
B6,RDU,35.0,0,8
NK,BWI,-30.0,0,3
AA,CLT,-4.0,0,11
AA,ORD,41.0,0,5
OO,SLC,2.0,0,6
DL,SEA,-3.0,0,2
WN,DEN,14.0,0,5
DL,GRR,-11.0,0,3
UA,AUS,2.0,0,1
MQ,ORD,-14.0,0,5
WN,MSY,-2.0,0,5
OO,DEN,-17.0,0,3
OO,LAX,7.0,0,5
WN,MCO,-11.0,0,11
AA,PIT,-25.0,0,8
NK,BOS,-17.0,0,4
WN,CLT,14.0,0,1
DL,SLC,-8.0,0,1
WN,OAK,-2.0,0,6
WN,OAK,-19.0,0,7
UA,ORD,-24.0,0,1
B6,MCO,-20.0,0,5
MQ,DFW,-16.0,0,2
NK,FLL,-7.0,0,9
MQ,DFW,1.0,0,9
UA,IAD,-24.0,0,11
YX,IND,-4.0,0,8
AA,DCA,11.0,0,11
OO,SEA,2.0,0,7
DL,ATL,-8.0,0,3
WN,DEN,13.0,0,10
UA,IAH,28.0,0,2
9E,LGA,-23.0,0,4
WN,JAX,-3.0,0,12
9E,ATL,-16.0,0,4
UA,SNA,-9.0,0,3
AA,PHL,29.0,0,8
DL,ABQ,-9.0,0,10
DL,LGA,11.0,0,6
AS,KTN,-30.0,0,8
OO,ORD,-1.0,0,4
YX,LGA,2.0,0,8
DL,SEA,-15.0,0,3
DL,GEG,-13.0,0,5
DL,DTW,-3.0,0,10
UA,ORD,-6.0,0,2
OH,DCA,-19.0,0,9
WN,AUS,10.0,0,3
NK,DFW,-15.0,0,6
B6,MCO,-6.0,0,6
WN,STL,-8.0,0,4
WN,DEN,-1.0,0,12
OO,SFO,73.0,0,4
B6,JFK,1.0,0,9
MQ,CRP,-16.0,0,5
DL,SEA,-7.0,0,2
WN,LAS,38.0,0,5
AA,SEA,-40.0,0,12
B6,PQI,2.0,0,10
WN,MSP,-10.0,0,1
UA,IAH,-22.0,0,10
WN,LAS,-14.0,0,1
B6,LAX,-23.0,0,4
UA,IAH,-13.0,0,9
OO,LBB,-7.0,0,10
UA,IAD,-29.0,0,5
AA,MCO,28.0,0,2
YX,JFK,-2.0,0,5
WN,DAL,-8.0,0,5
9E,ICT,47.0,0,2
DL,SDF,-10.0,0,5
OO,SEA,-16.0,0,10
WN,BWI,-8.0,0,1
WN,DCA,2.0,0,3
WN,SAT,-16.0,0,2
UA,PNS,4.0,0,5
MQ,MSO,86.0,0,2
DL,DCA,-33.0,0,4
DL,GPT,25.0,0,1
DL,MCO,-11.0,0,12
AA,FSD,-15.0,0,12
OO,MSN,31.0,0,3
OO,PHX,-6.0,0,7
AA,CLT,1.0,0,10
9E,LGA,-21.0,0,3
WN,MCI,3.0,0,6
UA,IAH,38.0,0,7
WN,LAS,13.0,0,1
AA,DFW,45.0,0,3
AA,JFK,46.0,0,5
UA,ORD,-25.0,0,12
DL,ATL,-10.0,0,6
UA,IAD,-1.0,0,8
UA,IAD,97.0,0,1
OO,ORD,40.0,0,7
WN,MDW,-2.0,0,9
WN,ONT,-18.0,0,11
DL,ABQ,-2.0,0,10
WN,PIT,11.0,0,1
MQ,MIA,-26.0,0,11
DL,AUS,-12.0,0,4
OH,SDF,-19.0,0,9
DL,ATL,7.0,0,9
DL,MSP,2.0,0,1
AA,SJU,-2.0,0,2
OO,OKC,-2.0,0,3
WN,DEN,-2.0,0,6
DL,ATL,-3.0,0,9
DL,SRQ,104.0,0,9
AS,LAX,-13.0,0,10
AA,AUS,-11.0,0,3
UA,IAH,38.0,0,7
DL,JFK,-19.0,0,5
YX,LGA,-21.0,0,11
DL,HNL,9.0,0,5
AA,CLT,-13.0,0,11
OO,FCA,-8.0,0,7
DL,LGA,-20.0,0,8
AA,BWI,-19.0,0,8
AA,DFW,0.0,0,8
OO,GEG,-9.0,0,4
OO,BUR,40.0,0,2
OO,SAN,23.0,0,4
OH,DCA,-8.0,0,12
UA,RDU,-17.0,0,4
AA,EWR,-15.0,0,10
AA,CLT,8.0,0,2
9E,JFK,-10.0,0,3
YX,EWR,-41.0,0,2
OO,DEN,-19.0,0,12
DL,SLC,-16.0,0,4
UA,ORD,-21.0,0,10
DL,ATL,4.0,0,7
B6,LAS,-31.0,0,5
OO,PDX,-8.0,0,5
OO,MBS,-12.0,0,6
UA,ORD,-19.0,0,10
OO,ORD,1.0,0,6
AA,JAX,34.0,0,11
HA,HNL,0.0,0,12
YX,EYW,-34.0,0,1
OH,CLT,3.0,0,3
DL,MSP,0.0,0,11
UA,EWR,3.0,0,5
NK,TPA,-20.0,0,12
F9,CLE,27.0,0,7
WN,SMF,-5.0,0,1
OO,DEN,-4.0,0,4
F9,PHL,23.0,0,10
WN,LAS,0.0,0,2
WN,LGB,7.0,0,10
DL,ATL,4.0,0,6
DL,ATL,-13.0,0,12
AS,SEA,53.0,0,7
F9,BOS,-40.0,0,11
WN,DAL,-4.0,0,10
MQ,PSP,4.0,0,2
AS,LAX,-3.0,0,7
WN,LIT,-25.0,0,3
OH,ORF,-24.0,0,10
UA,DEN,2.0,0,7
B6,FLL,1.0,0,5
AA,MIA,4.0,0,3
UA,PHL,-14.0,0,4
AA,SFO,893.0,0,1
AA,IND,2.0,0,12
AA,TPA,-16.0,0,5
AA,ORF,36.0,0,3
AS,SAN,60.0,0,12
DL,GRR,-8.0,0,3
YX,GSP,-2.0,0,6
DL,MIA,-11.0,0,4
YX,GSO,11.0,0,3
AS,LAX,27.0,0,2
B6,BOS,-43.0,0,2
AS,LAS,48.0,0,6
WN,HRL,-4.0,0,2
AA,ELP,-8.0,0,7
AA,MIA,-23.0,0,11
G4,SFB,4.0,0,4
DL,LAX,20.0,0,12
UA,MSP,-11.0,0,10
WN,CMH,-16.0,0,3
UA,PNS,10.0,0,6
WN,PHX,-5.0,0,9
WN,ONT,-4.0,0,11
UA,SFO,-2.0,0,12
AS,DTW,7.0,0,7
MQ,LFT,25.0,0,4
F9,DEN,-12.0,0,2
OO,YUM,-22.0,0,9
OO,LAX,-31.0,0,8
WN,SAT,9.0,0,7
WN,BNA,-33.0,0,10
OO,BHM,67.0,0,7
AA,DEN,-34.0,0,11
G4,BOS,-22.0,0,8
OO,PDX,4.0,0,2
OO,DEN,105.0,0,10
DL,MEM,-7.0,0,3
MQ,DFW,-12.0,0,8
UA,DEN,13.0,0,7
OO,DEN,-17.0,0,9
UA,CHS,-18.0,0,2
AA,CLT,-2.0,0,4
AA,RDU,-20.0,0,7
9E,RDU,17.0,0,1
UA,SAN,-20.0,0,10
WN,BWI,-19.0,0,1
AA,AUS,-21.0,0,8
OO,TUS,-2.0,0,8
YX,IAD,-9.0,0,12
DL,SFO,-26.0,0,1
DL,SAT,4.0,0,4
UA,DEN,30.0,0,10
WN,SJC,-15.0,0,8
B6,TPA,223.0,0,8
DL,ATL,-1.0,0,4
UA,DEN,-15.0,0,9
UA,SAN,9.0,0,4
WN,HOU,-23.0,0,1
NK,LGA,-8.0,0,3
WN,DAL,-9.0,0,10
OH,ABE,-14.0,0,2
AS,SEA,59.0,0,6
AS,PHX,12.0,0,4
9E,RDU,-11.0,0,11
OO,DEN,-2.0,0,12
WN,MDW,-9.0,0,2
WN,ATL,-19.0,0,8
UA,HNL,-5.0,0,7
AA,TPA,-6.0,0,5
UA,EWR,-21.0,0,12
YX,BOS,-19.0,0,5
OH,PHL,11.0,0,8
OO,FWA,21.0,0,12
B6,BOS,-30.0,0,1
OO,LAX,-19.0,0,2
NK,ORD,73.0,0,3
AA,SMF,-3.0,0,6
DL,SLC,13.0,0,3
UA,ICT,-15.0,0,10
WN,FLL,65.0,0,5
AS,SEA,,1,1
AA,CLT,-5.0,0,3
YX,LGA,-29.0,0,4
AA,DCA,-7.0,0,9
AS,JNU,-13.0,0,4
DL,CVG,-18.0,0,5
AA,HNL,-25.0,0,9
AA,RDU,81.0,0,6
AA,PSP,-8.0,0,4
OO,TUS,-12.0,0,11
WN,ORD,-1.0,0,4
AA,CHS,383.0,0,3
UA,DEN,10.0,0,4
B6,JFK,-10.0,0,5
G4,MFE,-11.0,0,9
WN,HNL,-12.0,0,3
WN,LAS,7.0,0,3
AA,RSW,39.0,0,2
OH,DCA,-8.0,0,3
YX,JAX,141.0,0,7
F9,TPA,-13.0,0,8
F9,MCO,-24.0,0,1
WN,ATL,-19.0,0,9
OO,ONT,-16.0,0,7
AA,SRQ,-31.0,0,5
AS,MKE,-27.0,0,1
WN,ROC,-19.0,0,5
UA,LGA,-4.0,0,10
UA,IAD,20.0,0,2
9E,DTW,-7.0,0,10
AA,SAN,5.0,0,10
UA,SFO,2.0,0,10
WN,OGG,-11.0,0,5
DL,SLC,4.0,0,10
B6,SJU,-22.0,0,7
AA,DFW,8.0,0,8
UA,IAH,-24.0,0,4
UA,ORD,-14.0,0,9
YX,EWR,-17.0,0,10
DL,PNS,-24.0,0,2
NK,OAK,4.0,0,7
OH,ATL,-4.0,0,5
OO,DEN,-19.0,0,5
YX,MKE,-10.0,0,3
UA,MSP,-10.0,0,1
DL,ORD,2.0,0,3
OO,DEN,289.0,0,1
9E,ATL,18.0,0,12
AS,ANC,-23.0,0,2
F9,SAN,3.0,0,9
MQ,BOS,-28.0,0,11
HA,OGG,-7.0,0,2
WN,SMF,-17.0,0,9
AA,BOS,-29.0,0,7
OO,BRO,27.0,0,10
B6,BOS,-18.0,0,8
OH,PHL,-2.0,0,12
AA,DFW,-11.0,0,4
B6,ATL,21.0,0,5
DL,SLC,-33.0,0,12
OO,ORD,-15.0,0,11
WN,MDW,39.0,0,7
OO,PDX,-15.0,0,11
OO,IAH,2.0,0,5
WN,LAS,-14.0,0,10
AA,PHL,-17.0,0,11
OH,LEX,21.0,0,1
DL,MSP,-11.0,0,10
OO,SEA,-4.0,0,12
DL,DSM,2.0,0,4
NK,EWR,-32.0,0,1
WN,SLC,5.0,0,8
B6,EWR,-90.0,0,1
DL,SEA,6.0,0,11
HA,HNL,19.0,0,10
HA,OGG,-23.0,0,1
OO,LAX,133.0,0,12
DL,JFK,-7.0,0,11
WN,MDW,-12.0,0,2
AA,PHX,-1.0,0,9
B6,BOS,21.0,0,8
9E,LGA,12.0,0,1
OO,SEA,34.0,0,4
WN,AUS,0.0,0,12
OO,PHX,-5.0,0,11
HA,HNL,-5.0,0,6
F9,SLC,29.0,0,7
WN,DCA,-1.0,0,11
F9,DEN,-1.0,0,8
AA,CLT,-2.0,0,8
DL,GEG,-13.0,0,3
B6,BOS,-6.0,0,11
WN,SAN,-13.0,0,7
DL,ORD,-8.0,0,6
NK,DFW,61.0,0,11
DL,CMH,14.0,0,8
OO,CPR,-2.0,0,8
AS,SEA,4.0,0,12
WN,SJC,-5.0,0,1
WN,SAN,-7.0,0,11
WN,OMA,-8.0,0,1
DL,ATL,-18.0,0,5
OH,DAB,-14.0,0,11
OO,HYS,-5.0,0,3
WN,BWI,,1,10
YX,MKE,7.0,0,5
MQ,DFW,-6.0,0,7
AA,MCO,-12.0,0,7
AA,PIT,-16.0,0,12
DL,JAX,2.0,0,3
OH,CLT,-1.0,0,12
WN,AUS,37.0,0,2
OO,DTW,-22.0,0,1
WN,SAN,-21.0,0,4
WN,LGB,-22.0,0,5
WN,LAS,-14.0,0,9
AS,MSP,-24.0,0,7
HA,OGG,5.0,0,7
AA,JFK,-13.0,0,1
AA,DFW,-11.0,0,8
DL,ATL,80.0,0,12
AA,TUS,34.0,0,11
YX,DTW,-14.0,0,11
UA,ORD,-2.0,0,3
DL,FCA,-4.0,0,7
WN,BWI,20.0,0,2
WN,SJC,-22.0,0,12
WN,OAK,3.0,0,8
UA,ORD,11.0,0,7
AS,PHX,-8.0,0,1
WN,LAS,-13.0,0,6
YX,RDU,-9.0,0,11
YX,DCA,-10.0,0,6
F9,TPA,29.0,0,1
WN,BWI,-19.0,0,2
WN,MCO,123.0,0,6
AS,SEA,15.0,0,2
NK,CLT,133.0,0,3
9E,TYS,-21.0,0,3
UA,LAX,4.0,0,6
OO,LAX,56.0,0,6
UA,SFO,-22.0,0,5
WN,RDU,-5.0,0,12
OH,DCA,-9.0,0,12
MQ,DFW,-16.0,0,12
OO,DEN,2.0,0,3
UA,IAH,-30.0,0,6
F9,IAH,-4.0,0,6
AA,DFW,-14.0,0,12
OH,CLT,23.0,0,5
UA,SFO,3.0,0,4
DL,FLL,-36.0,0,10
AA,DCA,9.0,0,5
WN,SEA,30.0,0,7
AA,EUG,6.0,0,3
OO,LAS,-12.0,0,6
DL,JFK,46.0,0,7
UA,ORD,-13.0,0,3
B6,FLL,17.0,0,12
UA,TPA,-4.0,0,3
WN,PHX,128.0,0,8
DL,PBI,-19.0,0,10
UA,LAX,63.0,0,7
UA,EWR,100.0,0,12
WN,DEN,-20.0,0,2
9E,LGA,22.0,0,6
WN,LAS,72.0,0,6
F9,BOS,-6.0,0,10
9E,MLU,-20.0,0,3
WN,PDX,-1.0,0,12
DL,AUS,-33.0,0,9
B6,DCA,-22.0,0,11
DL,ATL,10.0,0,11
DL,ATL,-14.0,0,8
WN,LGA,-5.0,0,2
AS,SEA,-24.0,0,11
DL,SEA,16.0,0,10
WN,DAL,1.0,0,10
WN,MKE,23.0,0,2
MQ,CVG,-16.0,0,9
DL,DFW,3.0,0,5
UA,SFO,3.0,0,11
DL,ATL,20.0,0,10
DL,MSP,49.0,0,11
F9,RSW,3.0,0,4
F9,SEA,152.0,0,6
AA,CLT,-6.0,0,8
HA,HNL,3.0,0,8
OO,SAN,-8.0,0,10
DL,BUF,-13.0,0,10
AA,PVD,15.0,0,10
WN,MSY,62.0,0,5
WN,OMA,25.0,0,6
AA,BDL,-10.0,0,9
AA,JFK,-12.0,0,10
AA,FLL,-25.0,0,8
WN,AUS,3.0,0,6
AA,LAS,5.0,0,10
WN,ATL,-8.0,0,5
OO,DTW,-1.0,0,6
AA,DFW,-13.0,0,4
WN,MDW,1.0,0,4
WN,DCA,-2.0,0,1
WN,MSY,-16.0,0,11
AA,DFW,-25.0,0,3
DL,ATL,18.0,0,10
DL,DEN,-4.0,0,8
OO,LAX,5.0,0,3
WN,PVD,-16.0,0,1
WN,LAS,-10.0,0,9
OO,ATW,525.0,0,12
AA,DFW,-4.0,0,4
OO,SEA,-9.0,0,1
DL,MSP,-37.0,0,9
NK,BOI,-19.0,0,8
OO,DIK,-17.0,0,7
MQ,SAF,44.0,0,5
AA,BNA,-18.0,0,6
UA,EWR,1.0,0,9
OO,DTW,-18.0,0,8
OO,DFW,59.0,0,1
YX,CVG,2.0,0,9
OH,GPT,72.0,0,4
WN,HOU,-1.0,0,8
UA,IAH,12.0,0,1
AA,HNL,-9.0,0,7
NK,LAS,-11.0,0,11
WN,AUS,-21.0,0,12
AS,ANC,-20.0,0,7
WN,SRQ,6.0,0,6
MQ,FAR,-9.0,0,8
WN,COS,-3.0,0,5
MQ,ORD,37.0,0,6
WN,ORF,23.0,0,4
OO,ORD,-10.0,0,5
NK,DTW,-9.0,0,12
UA,ORD,-3.0,0,9
OO,ATW,-7.0,0,7
OO,PSC,-14.0,0,12
AA,HNL,-4.0,0,7
OH,ATL,212.0,0,7
WN,MDW,-4.0,0,2
WN,SAT,-8.0,0,9
WN,BUF,7.0,0,9
UA,ORD,-18.0,0,8
MQ,SAV,-7.0,0,10
WN,OAK,-19.0,0,1
DL,ATL,155.0,0,7
WN,LAS,-12.0,0,4
UA,DEN,-16.0,0,11
AA,CLT,-22.0,0,11
AA,DFW,-16.0,0,3
YX,DCA,121.0,0,3
AS,IAH,-24.0,0,7
AA,PHL,11.0,0,10
WN,DEN,-2.0,0,4
9E,ATL,82.0,0,11
YX,SYR,-14.0,0,6
WN,LAS,-11.0,0,8
AA,CLT,-27.0,0,4
WN,ATL,14.0,0,6
OH,PIA,-23.0,0,11
AS,LAS,-8.0,0,11
WN,RIC,-12.0,0,5
AA,ATL,-6.0,0,4
UA,DEN,-13.0,0,10
HA,HNL,1.0,0,4
UA,LAX,-25.0,0,5
AA,ORD,5.0,0,1
OH,RDU,-5.0,0,10
UA,DFW,-12.0,0,9
OO,DTW,38.0,0,8
OO,MCI,10.0,0,11
WN,DEN,-18.0,0,10
OO,LAX,-22.0,0,12
UA,BNA,-17.0,0,11
OH,CLT,12.0,0,11
AS,SAN,26.0,0,4
B6,DTW,-8.0,0,3
DL,SLC,5.0,0,8
AA,CLT,-26.0,0,3
AA,SEA,-16.0,0,4
WN,PDX,-1.0,0,6
B6,LGA,-19.0,0,8
WN,DEN,28.0,0,8
YX,JFK,-12.0,0,6
AS,BUR,33.0,0,12
UA,SFO,-7.0,0,10
OO,STS,-18.0,0,12
MQ,ORD,33.0,0,11
WN,BNA,21.0,0,10
B6,SFO,11.0,0,7
OO,SLC,-33.0,0,8
YX,BOS,-2.0,0,3
AA,CMH,-12.0,0,7
AA,MIA,5.0,0,3
AA,CLT,-1.0,0,2
WN,LAS,8.0,0,9
AA,CLE,-18.0,0,8
YX,RIC,-5.0,0,3
DL,BIL,-9.0,0,8
AA,MIA,-10.0,0,11
OO,SLC,-31.0,0,12
WN,DAL,-19.0,0,6
AA,BWI,5.0,0,10
MQ,TUS,4.0,0,5
AA,MSY,51.0,0,7
DL,ATL,-21.0,0,7
AA,BOS,-38.0,0,10
UA,ATL,-15.0,0,6
AA,HNL,41.0,0,7
AA,PHX,-25.0,0,2
AA,SEA,13.0,0,9
AA,ORD,8.0,0,1
WN,STL,-7.0,0,12
NK,MCO,147.0,0,9
AS,SAN,-14.0,0,2
YX,CMH,0.0,0,12
9E,GTR,-26.0,0,9
YX,RDU,-24.0,0,3
WN,SAN,,1,1
OO,FAR,208.0,0,8
9E,JFK,-8.0,0,7
UA,EWR,-3.0,0,5
OO,DEN,-4.0,0,8
YX,CMH,-10.0,0,10
9E,MLU,-2.0,0,3
OH,TYS,-14.0,0,5
DL,MSP,-14.0,0,7
AA,PHX,7.0,0,7
AS,FAI,-8.0,0,2
YX,BOS,-25.0,0,10
WN,SJC,-11.0,0,1
AA,SDF,-22.0,0,12
UA,DEN,-5.0,0,3
WN,LIT,2.0,0,10
G4,IND,11.0,0,6
MQ,RDU,-7.0,0,2
DL,GRB,-18.0,0,7
DL,BTV,-19.0,0,11
UA,COS,4.0,0,3
UA,DSM,-1.0,0,8
MQ,DFW,2.0,0,4
F9,PHL,-8.0,0,7
WN,DEN,40.0,0,8
WN,SAN,-14.0,0,3
OH,PVD,-9.0,0,8
AA,MSY,-5.0,0,7
DL,SAN,45.0,0,3
AA,PHX,30.0,0,7
WN,HOU,66.0,0,11
AA,EWR,35.0,0,7
UA,DEN,-3.0,0,1
G4,ORF,-14.0,0,8
AA,MCO,6.0,0,1
OO,MSP,0.0,0,3
OH,MLB,-10.0,0,11
OO,SWO,1.0,0,5
B6,EWR,5.0,0,12
UA,ORD,156.0,0,11
YX,MCI,21.0,0,4
WN,PIT,99.0,0,7
WN,LAS,-9.0,0,2
AA,CLT,-3.0,0,10
WN,BWI,14.0,0,5
MQ,MIA,-18.0,0,1
YX,SAV,-1.0,0,1
WN,FLL,6.0,0,8
OO,DTW,-7.0,0,11
OO,LAX,-21.0,0,2
AS,SAN,46.0,0,3
OO,SLC,-4.0,0,12
OO,SLC,7.0,0,5
AA,TPA,5.0,0,8
OO,DEN,-20.0,0,12
AA,LGA,-9.0,0,11
WN,CMH,78.0,0,8
AS,MSO,11.0,0,12
AA,CLT,-5.0,0,7
NK,PHX,98.0,0,5
F9,ATL,31.0,0,11
WN,BNA,5.0,0,5
UA,SFO,-31.0,0,12
AA,DCA,-20.0,0,5
DL,PBI,11.0,0,11
WN,ITO,1.0,0,2
UA,DEN,-14.0,0,9
DL,LGA,-9.0,0,7
DL,DTW,-15.0,0,3
AS,ANC,12.0,0,12
AS,SEA,37.0,0,7
UA,EWR,-13.0,0,5
NK,MIA,-15.0,0,12
WN,TPA,17.0,0,5
UA,ATL,-13.0,0,8
OO,ORD,4.0,0,5
OO,SLC,-15.0,0,10
DL,LAS,-23.0,0,9
AA,SFO,-23.0,0,8
AA,AUS,-14.0,0,1
F9,PHL,67.0,0,4
AA,PHX,-36.0,0,7
WN,SRQ,-28.0,0,4
AS,SEA,47.0,0,12
AS,SEA,30.0,0,11
AA,CLT,44.0,0,10
WN,DAL,-2.0,0,8
WN,PHX,-10.0,0,4
UA,IAH,1.0,0,8
AA,BUF,-17.0,0,6
YX,BUF,67.0,0,4
AS,JNU,-10.0,0,8
B6,BUF,-13.0,0,10
B6,JFK,-16.0,0,3
DL,VPS,-17.0,0,6
WN,DAL,12.0,0,7
DL,MCO,-7.0,0,8
OO,SLC,32.0,0,1
WN,LGB,8.0,0,10
9E,PWM,-24.0,0,2
OO,HIB,-32.0,0,10
WN,PHX,2.0,0,12
AS,SEA,-28.0,0,10
MQ,STL,5.0,0,7
AA,ORD,,1,8
AA,DFW,-18.0,0,8
UA,CLE,-14.0,0,6
WN,SJC,7.0,0,9
YX,RDU,-9.0,0,2
DL,SFO,10.0,0,12
WN,MDW,-4.0,0,2
DL,ORD,-19.0,0,12
AS,SEA,-6.0,0,7
YX,OKC,-7.0,0,7
WN,MCI,-12.0,0,2
UA,ORD,4.0,0,2
AA,MCO,30.0,0,11
NK,SJU,0.0,0,7
MQ,FSM,20.0,0,10
B6,BOS,34.0,0,9
OO,DFW,,1,12
WN,ATL,26.0,0,5
UA,LAS,-21.0,0,9
AS,PDX,18.0,0,11
NK,MSY,2.0,0,5
UA,DEN,-8.0,0,9
WN,SMF,-11.0,0,9
DL,MSP,-19.0,0,7
DL,RDU,-24.0,0,4
HA,HNL,-11.0,0,4
WN,SAV,2.0,0,5
UA,EWR,3.0,0,8
OO,ATL,151.0,0,8
AA,MSY,4.0,0,1
G4,TVC,-11.0,0,3
OH,CLT,-17.0,0,3
DL,MSP,-10.0,0,8
AS,ANC,7.0,0,11
OH,BTR,-7.0,0,11
DL,MCO,-1.0,0,12
AS,DFW,-1.0,0,6
G4,TYS,-19.0,0,3
G4,CVG,31.0,0,8
DL,ATL,23.0,0,1
WN,LAS,-11.0,0,10
WN,BWI,22.0,0,1
OO,ORD,-19.0,0,8
WN,LGB,-4.0,0,7
B6,PBI,-27.0,0,2
YX,PIT,-12.0,0,5
DL,ATL,-8.0,0,3
OO,LAS,23.0,0,10
OO,MSP,-3.0,0,6
MQ,MAF,266.0,0,12
WN,ATL,30.0,0,9
WN,DEN,-10.0,0,11
AA,CLT,-6.0,0,6
DL,SEA,,1,10
WN,PBI,-15.0,0,2
DL,DTW,195.0,0,7
NK,LGA,39.0,0,6
WN,MSY,-9.0,0,1
UA,ORD,-12.0,0,10
WN,PHX,15.0,0,12
OO,ICT,-24.0,0,9
AA,PSP,-25.0,0,10
DL,ATL,16.0,0,6
AS,BRW,56.0,0,4
OO,DFW,-17.0,0,10
OH,CLT,-11.0,0,4
