MapReduceLocal,MapReduceCluster,MapReduceCluster3Tasks,HiveLocal,HiveCluster,HiveCluster3Tasks,SparkLocal,SparkCluster,SparkSQLocal,SparkSQLCluster
39.868,46.554,38.466,OOM,2m36.498,2m40.341,27.317,58.860,22.387,55.128
36.454,45.500,39.406,OOM,2m31.083,2m46.065,24.954,46.686,20.326,57.523
33.543,55.393,41.820,OOM,2m35.669,2m39.033,24.566,47.080,19.017,55.140
32.453,41.933,41.024,OOM,2m20.280,2m57.066,25.194,48.165,19.203,1m8.354
35.952,42.574,38.803,OOM,2m31.127,2m45.583,24.217,59.579,19.277,54.254
